brand,avg_price,avg_stockout_rate,lost_revenue,product_count
Asos,46.56822873658134,0.2786498557659614,471999.0,4844
Topshop,47.77138643067847,0.25075201643709427,76083.0,1017
New Look,29.209158512720155,0.40917626079074215,39671.77,511
River Island,45.41970021413276,0.2997552768430713,39116.0,467
The,80.41914191419141,0.22758132956152757,27545.0,303
Adidas,48.3359375,0.2259515730218855,27508.0,384
Miss Selfridge,36.48219114219114,0.25520313020313024,27406.04,429
&,85.59821428571429,0.30076176303854874,26804.0,224
Vero,34.862385321100916,0.32404980340760153,22179.0,327
Reclaimed,34.82333333333333,0.4114603174603174,14245.65,150
Collusionexclusive,24.342112676056338,0.21078436996246486,11844.81,284
Simply,28.57608695652174,0.4031108579618397,11591.0,92
Pretty,73.424,0.234,11464.0,125
Forever,112.57142857142857,0.16666666666666666,10729.0,98
Urban,36.662684210526315,0.26767543859649123,9377.13,190
Nike,46.76331775700935,0.20177273401572465,8632.5,214
Collusion,20.8275,0.5383771008403361,8515.07,80
Asyouexclusive,28.919245283018867,0.19389191783059706,8372.71,212
Tommy,73.1948051948052,0.24004329004329006,8309.0,77
Noisy,32.30337078651685,0.24606741573033705,8303.0,178
Polo,147.5142857142857,0.25115646258503405,7119.0,35
In,38.68670329670329,0.18380429094714806,6333.99,182
Na-Kdcollaboration,56.97014925373134,0.2462686567164179,5799.0,67
Abercrombie,57.63265306122449,0.3333956293139967,5702.0,49
Sister,118.34693877551021,0.2002915451895044,5616.0,49
Hope,104.03333333333333,0.10777777777777776,5505.0,90
Free,92.77530612244898,0.24863945578231292,5425.98,49
Fred,102.66666666666667,0.2724867724867725,5069.0,36
Wednesday'S,23.75187969924812,0.2847117794486216,4997.0,133
Ann,25.327272727272728,0.41494763768926446,4901.0,55
Missguided,36.733333333333334,0.43566137566137564,4390.0,45
Daisy,25.496644295302012,0.2041387024608501,4383.0,149
Extro,43.66346153846154,0.19198717948717947,4181.0,104
Only,32.474747474747474,0.25375180375180373,3975.0,99
Monkiall,39.41025641025641,0.34144744144744144,3944.0,39
Never,93.36734693877551,0.15136054421768708,3899.0,49
Nobody'S,58.845238095238095,0.15354308390022675,3857.0,84
Allsaints,98.0,0.3575396825396825,3781.0,20
Labelrailexclusive,75.0,0.18663594470046083,3662.0,31
Flounce,47.98701298701299,0.20238095238095238,3641.0,77
Calvin,60.0,0.2438679245283019,3533.0,53
Closet,67.10810810810811,0.11287001287001287,3509.0,74
True,120.21052631578948,0.2894736842105263,3456.0,19
Glamorous,36.733333333333334,0.1823809523809524,3450.0,90
Pieces,37.08552631578947,0.25285087719298244,3421.5,76
Jaded,48.816326530612244,0.24523809523809523,3200.0,49
Style,54.25806451612903,0.3252688172043011,3196.0,31
French,78.45454545454545,0.3348484848484849,3063.0,22
Vila,46.627450980392155,0.23295985060690944,3013.0,51
Dorina,18.727272727272727,0.6177618678388389,2910.0,11
Monkithe,25.238095238095237,0.3963718820861678,2900.0,42
Little,64.94117647058823,0.1925770308123249,2897.0,34
Maya,101.25,0.0925925925925926,2890.0,36
Mango,42.82458333333333,0.48819444444444443,2882.37,24
Stradivarius,27.235121951219508,0.4725900116144019,2850.04,41
4Th,41.75,0.30833333333333335,2850.0,40
Bershka,29.045555555555552,0.3733465608465608,2848.3399999999997,72
Collective,52.83050847457627,0.1606133979015335,2781.0,59
I,30.338709677419356,0.22645929339477727,2734.0,62
Esm,25.580645161290324,0.48310291858678955,2655.0,31
Asyou,25.023333333333333,0.3664069264069264,2536.9,30
Vesper,56.25,0.3263888888888889,2390.0,24
Lavish,109.05,0.0875,2343.0,40
Tfnc,62.91428571428571,0.0919047619047619,2327.0,70
Mangoall,44.587037037037035,0.33412698412698416,2070.69,27
